Date,Time,spendingDetail,spendingAmount,currency
2023-01-01,7:31,ซื้ออาหารจาก Grab,500,THB
2023-01-01,12:47,เติมน้ำมันที่ PTT,2000,THB
2023-01-01,16:53,ซื้อเสื้อผ้าที่ Central,1500,THB
2023-01-01,21:40,จองโรงแรมผ่าน Agoda,4000,THB
2023-01-02,9:19,ซื้อตั๋วเครื่องบินไปเชียงใหม่,5000,THB
2023-01-02,21:50,ชำระค่าสมาชิก Netflix,300,THB
2023-01-03,4:23,ซื้อกาแฟที่ Starbucks,150,THB
2023-01-03,6:24,ซื้อน้ำดื่มที่ 7-Eleven,100,THB
2023-01-03,12:58,รับประทานอาหารกลางวันที่ Food Court,300,THB
2023-01-03,1:38,ซื้อตั๋วชมภาพยนตร์,400,THB
2023-01-03,7:23,เติมเงินโทรศัพท์มือถือ,250,THB
2023-01-04,14:24,ซื้ออุปกรณ์อิเล็กทรอนิกส์ที่ Power Buy,6000,THB
2023-01-04,17:37,ชำระค่าบริการอินเทอร์เน็ต,1000,THB
2023-01-04,13:08,ซื้อขนมที่ Big C,200,THB
2023-01-04,9:20,ชำระค่าอาหารที่ร้านอาหาร,400,THB
2023-01-04,19:16,เติมน้ำมันที่ PTT,1500,THB
2023-01-05,19:05,ซื้อเครื่องดื่มที่ Starbucks,200,THB
2023-01-05,15:47,ชำระค่าไฟฟ้า,1000,THB
2023-01-05,0:18,ซื้อของออนไลน์ที่ Lazada,1200,THB
2023-01-05,3:24,เติมเงินเข้าสมุดเงินออม,3000,THB
2023-01-06,17:51,ซื้อตั๋วชมการแข่งขันฟุตบอล,2000,THB
2023-01-06,19:19,ซื้อลอตเตอรี่,200,THB
2023-01-07,14:39,ซื้อเครื่องสำอางที่ Watsons,1000,THB
2023-01-08,0:01,จองตั๋วเครื่องบินไปภูเก็ต,4000,THB
2023-01-08,9:57,ชำระค่าสมาชิก Amazon Prime,400,THB
2023-01-08,0:31,ซื้อเสื้อผ้าออนไลน์ที่ Zalora,1500,THB
2023-01-08,10:52,ซื้ออาหารที่ร้านอาหารญี่ปุ่น,1200,THB
2023-01-08,23:35,ซื้อของที่ Tesco Lotus,600,THB
2023-01-08,11:50,เติมเงินบัตร Rabbit,800,THB
2023-01-09,23:28,ชำระค่าบริการโทรศัพท์,400,THB
2023-01-09,2:00,ซื้อหนังสือที่ร้านหนังสือ,350,THB
2023-01-09,0:36,เติมเงินเข้า Google Play,200,THB
2023-01-09,21:05,ซื้อของที่ร้านสะดวกซื้อ,150,THB
2023-01-09,6:40,ซื้อกาแฟที่ร้านกาแฟ,200,THB
2023-01-10,20:17,จองโรงแรมผ่าน Agoda,6700,THB
2023-01-10,15:04,ซื้อของที่ HomePro,2000,THB
2023-01-10,9:42,ซื้ออาหารที่ร้านสะดวกซื้อ,150,THB
2023-01-10,1:01,ชำระค่าเช่าบ้าน,32000,THB
2023-01-10,7:41,เติมเงินโทรศัพท์มือถือ,500,THB
2023-01-10,3:38,ซื้อของออนไลน์ที่ Shopee,1000,THB
2023-01-11,23:11,ซื้อขนมที่ร้านสะดวกซื้อ,100,THB
2023-01-11,14:18,เติมเงินบัตรเครดิต,3000,THB
2023-01-11,0:14,ซื้อของที่ร้านอุปกรณ์กีฬา,2000,THB
2023-01-12,3:53,ซื้อตั๋วชมคอนเสิร์ต,3000,THB
2023-01-12,12:57,ซื้ออาหารกลางวันที่ร้านอาหาร,600,THB
2023-01-12,10:20,ชำระค่าบริการสาธารณูปโภค,1200,THB
2023-01-12,11:04,ซื้อเครื่องใช้ไฟฟ้า,2500,THB
2023-01-13,6:04,ซื้อกาแฟที่ร้านกาแฟ,150,THB
2023-01-13,15:52,ซื้อตั๋วเข้าชมพิพิธภัณฑ์,300,THB
2023-01-13,3:12,ชำระค่าบริการซ่อมบ้าน,1200,THB
2023-01-14,9:18,ซื้ออาหารเช้าที่ร้านกาแฟ,250,THB
2023-01-14,19:25,ซื้อของที่ Tesco Lotus,1000,THB
2023-01-14,21:30,เติมเงินเข้าบัตรทรูมันนี่,500,THB
2023-01-15,10:00,ซื้อของที่ 7-Eleven,200,THB
2023-01-15,15:45,ชำระค่าที่พัก Airbnb,3500,THB
2023-01-15,20:00,ซื้ออาหารเย็นที่ร้านอาหาร,800,THB
2023-01-16,11:30,เติมน้ำมันที่ Shell,1200,THB
2023-01-16,16:45,ซื้ออุปกรณ์คอมพิวเตอร์ที่ IT City,4000,THB
2023-01-17,8:00,ซื้อกาแฟที่ร้านกาแฟ,200,THB
2023-01-17,12:00,ชำระค่าสมาชิก Spotify,200,THB
2023-01-18,9:00,ซื้อตั๋วชมการแสดง,2000,THB
2023-01-18,13:30,ซื้อของที่ Big C,1500,THB
2023-01-18,18:00,ซื้ออาหารค่ำที่ร้านอาหาร,1000,THB
2023-01-19,10:00,ซื้อของออนไลน์ที่ Shopee,800,THB
2023-01-19,14:30,เติมเงินโทรศัพท์มือถือ,300,THB
2023-01-20,11:00,ซื้อของที่ 7-Eleven,150,THB
2023-01-21,9:30,ซื้อตั๋วเครื่องบินไปกรุงเทพฯ,5000,THB
2023-01-21,14:00,ซื้ออาหารที่ร้านอาหารญี่ปุ่น,1200,THB
