,Unnamed: 0,date,spendingDetail,spendingAmount,currency,Bangkok Bank American Express,Bangkok Bank Visa Platinum,Visa Platinum KBank,THE PASSION Visa Signature KBank,CardX ULTRA PLATINUM,CardX MY TRAVEL,ttb so chill,ttb so fast,ttb absolute,KTC AGODA WORLD REWARDS MASTERCARD
0,0,11 ม.ย. 67,ILM-RANGSIT PATHUMTHANI TH,1495.0,THB,0,0,59,118,0,0,59,149,74,0
1,1,11 ม.ย. 67,ILM-RANGSIT PATHUMTHANI TH,22270.0,THB,0,0,890,1780,0,0,890,2227,1113,0
2,2,11 ม.ย. 67,BIG C SUPERCENTER-RANGSITPATHUMTHANI TH,1854.0,THB,0,0,74,148,296,0,74,185,92,0
3,3,09 ม.ย. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,358.0,THB,14,14,14,28,14,14,14,35,34,14
4,4,09 ม.ย. 67,TMN 7-11 BANGKOK TH,74.0,THB,0,0,2,4,0,0,2,7,3,0
5,5,09 ม.ย. 67,TMN 7-11 BANGKOK TH,118.0,THB,0,0,4,8,0,0,4,11,5,0
6,6,09 ม.ย. 67,TMN 7-11 BANGKOK TH,144.0,THB,0,0,5,10,0,0,5,14,7,0
7,7,08 ม.ย. 67,AGODA.COM RUENNAKORN Internet SG,941.42,THB,37,37,37,74,37,37,37,94,94,37
8,8,08 ม.ย. 67,TMN 7-11 BANGKOK TH,20.0,THB,0,0,0,0,0,0,0,2,1,0
9,9,08 ม.ย. 67,TMN 7-11 BANGKOK TH,167.0,THB,0,0,6,12,0,0,6,16,8,0
10,10,08 ม.ย. 67,MR.D.I.Y.-BB57-ZRRS PATHUMTHANI TH,425.0,THB,0,0,17,34,0,0,17,42,21,0
11,11,07 ม.ย. 67,TMN 7-11 BANGKOK TH,35.0,THB,0,0,1,2,0,0,1,3,1,0
12,12,07 ม.ย. 67,TMN 7-11 BANGKOK TH,130.0,THB,0,0,5,10,0,0,5,13,6,0
13,13,07 ม.ย. 67,TMN 7-11 BANGKOK TH,227.0,THB,0,0,9,18,0,0,9,22,11,0
14,14,06 ม.ย. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,5233.0,THB,209,209,209,418,209,209,209,523,522,209
15,15,06 ม.ย. 67,TMN 7-11 BANGKOK TH,30.0,THB,0,0,1,2,0,0,1,3,1,0
16,16,04 ม.ย. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,5468.0,THB,218,218,218,436,218,218,218,546,546,218
